fiscal_year,awarding_agency_id,funding_agency_id,annual_spending
,,,1909687.25
,,1196,6967557.36
,7,,1758989.0
,7,7,63200.0
,13,13,89680804.71
,48,,4713006.15
,48,48,54796929.7
,48,52,292617.96
,63,63,238227369.73
,67,,15011386.0
,68,68,11638739.9
,68,801,5117070.0
,89,,390086539.63
,89,89,566894876.62
,90,,0.0
,90,90,19025560.69
,95,,21066549.0
,99,,222503.0
,99,99,10266429.9
,100,,32718217.35
,100,96,432024.57
,100,98,1367516.08
,100,100,111771725.48
,100,102,2405864.36
,100,104,51567309.59
,100,105,2594976.98
,100,126,608472.3
,100,127,1182676.52
,100,128,1037112.15
,100,129,13080.0
,100,130,121335532.36
,100,132,420954.0
,100,133,2136486.91
,100,135,5797392.52
,100,136,13409338.98
,100,138,607109.02
,100,139,80402.0
,100,145,46556.69
,100,146,439137.02
,100,147,0.0
,100,149,104712.0
,100,150,74383106.53
,100,153,55404260.92
,100,154,1675348.0
,100,158,6178277.17
,100,166,409126.62
,100,176,1889341.45
,104,,4715486.0
,105,,0.0
,106,,0.0
,110,,6876649.05
,111,,0.0
,114,,0.0
,116,,0.0
,119,,0.0
,120,,0.0
,121,,0.0
,128,,3978414.0
,133,,57997246.6
,145,,9044498.41
,149,,3105577318.08001
,149,95,19560.0
,149,149,3231498662.96001
,149,227,223618.11
,149,237,92173.67
,149,240,7718.5
,150,,3498202904.5
,150,150,168701516.839999
,150,700,-20207.94
,152,150,3376622.88
,152,152,39241.57
,152,153,155588.03
,152,154,4000.0
,152,155,14737.5
,153,,142002815288.0
,153,123,333155.0
,153,153,10742801292.41
,153,154,103992967.58
,153,155,2097904.07
,153,163,2021243.11
,153,801,52500.0
,154,,3289170229.64
,154,153,377897285.119999
,154,154,367963430.4
,155,,237681940325.0
,155,155,215326.58
,157,,5600127192.0
,157,157,684282923.24
,158,,7090003717.17
,158,157,49649.6
,158,158,2192845585.37
,159,,801849062.0
,159,159,131275133.67
,163,,312428562664.43
,163,157,0.0
,163,163,80304849787.84
,166,,130042181.34
,166,121,0.0
,166,166,52032125.54
,168,,1708769046.29
,168,130,7152.84
,168,168,310357260.28
,168,169,10023150.99
,168,170,8406662.92
,168,171,8943777.38
,169,,11172481242.95
,170,,17883296.33
,171,,91435137.79
,175,,336861421.14
,175,153,7494542.05
,175,163,1319838767.15
,175,175,509384625.94
,176,,3294922568.22
,176,149,16328.91
,176,168,8980442.83
,176,175,14758962.84
,176,176,227572661.27
,176,177,5526569.63
,181,,86133.0
,183,,0.0
,184,,25489886.92
,184,183,13345.07
,184,184,134040067.08
,184,186,5457959.99
,184,190,16623833.26
,184,192,3641889.76
,184,193,28192627.68
,184,194,3242086.34
,184,195,27960453.31
,184,196,12532560.39
,184,197,6369619.27
,184,198,7371601.81
,184,201,30053428.57
,184,203,2385885.14
,192,,1973286.0
,193,,549306.65
,193,192,1303.5
,193,193,196494673.41
,194,,2695638675.0
,194,194,33758439.1
,195,,5783449423.51
,195,183,0.0
,195,195,1531634882.42
,195,197,0.0
,195,201,863236.0
,195,202,45846.5
,196,,323328663.0
,197,,1806505034.54
,197,183,0.0
,197,184,0.0
,197,186,40172.07
,197,194,22374.51
,197,196,5154019.9
,197,197,235954497.16
,197,198,0.0
,197,201,486878.29
,197,202,165000.0
,197,262,67823.8
,197,554,265147.62
,197,638,700000.0
,197,655,8708.69
,197,782,59628.76
,197,930,553772.0
,197,1173,250000.0
,197,1196,599624.0
,197,1216,309926.78
,198,,0.0
,200,,181564951.92
,200,200,707378932.61
,201,,118040799.0
,202,,0.0
,203,,76239966.0
,203,203,13096251.0
,209,,42473836.64
,211,,1029828.0
,213,,13312.2
,213,213,1376182.57
,214,,307889640.36
,214,48,808019.6
,214,149,12554296.61
,214,150,248478.88
,214,153,865510.8
,214,154,458063.5
,214,155,101400.0
,214,183,3000.0
,214,195,854186.58
,214,201,8415269.45
,214,212,1281927.37
,214,213,19803.2
,214,214,124960094.82
,214,218,5000.0
,214,221,0.0
,214,223,31069204.29
,214,227,190463149.89
,214,228,78538.14
,214,233,2888444.81
,214,234,3884490.86
,214,235,34946092.07
,214,236,9999.0
,214,237,16946477.36
,214,239,5454379.26
,214,240,19744698.0
,214,249,537738.97
,214,315,6608564.71
,214,470,0.0
,214,503,790346.0
,214,538,381250.47
,214,554,218273.03
,214,561,0.0
,214,655,7567072.01
,214,693,1294961.0
,214,696,25214.75
,214,755,324617.72
,214,767,0.0
,214,778,0.0
,214,787,11878456.79
,214,803,1485585.0
,214,805,345430.44
,214,814,2004623.36
,214,825,0.0
,214,828,1346153.84
,214,830,12182620.37
,214,848,42893604.25
,214,930,20000.0
,214,1129,391161.03
,214,1132,44093.69
,214,1141,686134.67
,214,1143,256508.82
,214,1144,33757.0
,214,1146,1172746.39
,214,1149,4397.52
,214,1155,553682.62
,214,1173,239988936.12
,214,1174,5282169.67
,214,1188,42796017.12
,214,1196,16890396.67
,214,1206,0.0
,214,1216,30287392.1
,214,1223,0.0
,214,1225,10526591.19
,214,1228,0.0
,214,1431,65000.0
,217,,1278313558.79
,227,,1731660516.22
,227,227,421723628.95
,228,,1803345796.98
,228,13,158642.56
,228,228,339149429.799999
,233,,739258112.07
,233,233,345620943.77
,234,,125056159.3
,234,234,19697247.04
,235,235,26646447.29
,236,,1326998201.79
,236,236,13432463.43
,237,,1327412529.31
,237,237,780317288.37
,239,,4338186884.77
,239,239,193103740.46
,239,240,500699.49
,240,,875343332.31
,240,240,131882383.68
,252,,0.0
,253,,137796446.07
,253,252,4065416.13
,253,253,1416239311.7
,253,254,1219118.56
