toptier_agency_id,create_date,update_date,cgac_code,fpds_code,abbreviation,name,COFOG,mission,website,icon_filename
2,1517428374.21179,1520545204.45677,1,100,AOC,Architect of the Capitol,1,,,
3,1517428374.22945,1520545204.47141,3,300,LOC,Library of Congress,1,,,
4,1517428374.27144,1520545204.5036,4,400,GPO,Government Publishing Office,1,,,
5,1517428374.29019,1520545204.51713,5,500,GAO,Government Accountability Office,1,"Our Mission is to support the Congress in meeting its constitutional responsibilities and to help improve the performance and ensure the accountability of the federal government for the benefit of the American people. We provide Congress with timely information that is objective, fact-based, nonpartisan, nonideological, fair, and balanced.",https://www.gao.gov/,
6,1517428374.33422,1520545204.54958,8,800,CBO,Congressional Budget Office,1,,,
13,1517428375.31782,1520545205.60377,1133,1153,USTDA,United States Trade and Development Agency,1,The U.S. Trade and Development Agency helps companies create U.S. jobs through the export of U.S. goods and services for priority development projects in emerging economies.â  USTDA links U.S. businesses to export opportunities by funding project preparation and partnership building activities that develop sustainable infrastructure and foster economic growth in partner countries.,https://www.ustda.gov/,
15,1517428376.46443,1520545206.5759,13,1300,DOC,Department of Commerce,4,The mission of the Department is to create the conditions for economic growth and opportunity.,https://www.commerce.gov/,DOC.jpg
16,1517428376.78725,1520545206.82853,14,1400,DOI,Department of the Interior,1,"The Department of the Interior protects and manages the Nation's natural resources and cultural heritage; provides scientific and other information about those resources; and honors its trust responsibilities or special commitments to American Indians, Alaska Natives, and affiliated island communities.",https://www.doi.gov/,DOI.jpg
17,1517428377.31801,1520545207.24576,15,1500,DOJ,Department of Justice,3,To enforce the law and defend the interests of the United States according to the law; to ensure public safety against threats foreign and domestic; to provide federal leadership in preventing and controlling crime; to seek just punishment for those guilty of unlawful behavior; and to ensure fair and impartial administration of justice for all Americans.,https://www.justice.gov/,DOJ.jpg
18,1517428377.50992,1520545207.47849,1601,1600,DOL,Department of Labor,10,"To foster, promote, and develop the welfare of the wage earners, job seekers, and retirees of the United States; improve working conditions; advance opportunities for profitable employment; and assure work-related benefits and rights.",https://www.dol.gov/,DOL.jpg
19,1517428378.01647,1520545207.96027,1602,1665,PBGC,Pension Benefit Guaranty Corporation,10,"Enhance retirement security by preserving and encouraging the continuation of private pension plans, and protecting the benefits of workers and retirees in traditional pension plans.",https://www.pbgc.gov/,
21,1517428378.11433,1520545208.03514,19,1900,DOS,Department of State,1,"The Department's mission is to shape and sustain a peaceful, prosperous, just, and democratic world and foster conditions for stability and progress for the benefit of the American people and people everywhere. This mission is shared with the USAID, ensuring we have a common path forward in partnership as we invest in the shared security and prosperity that will ultimately better prepare us for the challenges of tomorrow.",https://www.state.gov/,DOS.jpg
22,1517428379.87709,1520545209.3744,20,2000,TREAS,Department of the Treasury,1,"Maintain a strong economy and create economic and job opportunities by promoting the conditions that enable economic growth and stability at home and abroad, strengthen national security by combating threats and protecting the integrity of the financial system, and manage the U.S. Government's finances and resources effectively.",https://www.treasury.gov/,DOT.jpg
23,1517428380.47156,1520545209.82079,23,2300,,U.S. Tax Court,1,,,
24,1517428380.48938,1520545209.83495,24,2400,OPM,Office of Personnel Management,4,"Recruit, retain, and honor a world-class workforce to serve the American people.",https://www.opm.gov/,OPM.jpg
25,1517428380.89313,1520545210.16627,25,2500,NCUA,National Credit Union Administration,10,"Provide, through regulation and supervision, a safe and sound credit union system, which promotes confidence in the national system of cooperative credit.",https://www.ncua.gov/,
26,1517428380.92345,1520545210.18995,26,2600,FRTIB,Federal Retirement Thrift Investment Board,10,,,
